Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ярош,Остап,Давидович,male,1988-03-09,Менеджер з закупівель,селище Бунге ,"парк Бессарабська, буд. 204 кв. 851, Деражня, 77537",382 84 92,iaroslavaskyrda@example.org
Ященко,Устим,Ігорович,male,1990-12-30,Системний адміністратор,хутір Снятин,"узвіз Ланжеронівський узвіз, буд. 553, Бахмач, 99549",010 933-72-66,venedyktvovk@example.net
Худяк,Аліна,Давидівна,female,1964-12-14,HR-менеджер,місто Овруч,"шосе Сухолиманна, буд. 68 кв. 0, Білгород-Дністровський, 98999",453-58-56,vadym64@example.net
Теличенко,Веніямин,Остапович,male,1990-11-29,Дизайнер,місто Острог,"вулиця Дунаєвського 2-й, буд. 01, Світлодарськ, 59089",031 086-77-21,volodymyra32@example.org
Дробаха,Василина,Вікторівна,female,1997-03-12,Менеджер з маркетингу,селище Кілія,"проспект Данила Крижанівського, буд. 88, Ічня, 88160",853 21 22,iaremenkovasylyna@example.com
Литвиненко,Михайло,Євгенович,male,1991-04-09,PR-менеджер,село Вінниця,"вулиця Стамбульський, буд. 0 кв. 1, Ровеньки, 68783",+380 47 191-14-83,ostapchukoksana@example.com
Журавель,Михайлина,Кирилівна,female,1947-07-16,Тестувальник,хутір Бар,"парк Виїзна, буд. 60 кв. 006, Лубни, 38386",+380 (80) 757-98-49,zinkevychonysym@example.com
Сірченко,Богуслава,Петрівна,female,1971-06-04,Фінансовий аналітик,селище Андрушівка,"провулок Магнітогорський 2-й, буд. 52 кв. 60, Мелітополь, 22602",282 65 87,xchmil@example.net
Гаврилів,Марʼяна,Романівна,female,1976-12-12,Системний адміністратор,місто Гайворон,"сквер Валіховський, буд. 5, Васильків, 04810",028 005-42-13,khomykfrants@example.org
Терещенко,Назар,Данилович,male,2005-07-15,Інженер з якості,хутір Бунге ,"вулиця Короткий, буд. 364, Полтава, 68357",+380 52 008-91-96,vrudko@example.com
Дубас,Устим,Данилович,male,1976-05-26,Кадровий менеджер,село Зборів,"парк Степова, буд. 6, Луганськ, 19628",+380 (09) 448-25-74,kkolisnychenko@example.org
Ковалюк,Орися,Григоріївна,female,1984-03-16,PR-менеджер,село Козятин,"сквер Мариністів, буд. 082 кв. 5, Перещепине, 46699",001 489 14 72,amvrosiichubai@example.com
Проценко,Наталія,Сергіївна,female,1954-05-27,Аудитор,хутір Великі Мости,"площа Кропивницького, буд. 4 кв. 32, Сімферополь, 72854",+380 10 204-88-76,thavrylenko@example.org
Вернидуб,Єфрем,Григорійович,male,1943-10-04,Тестувальник,селище Шахтарськ,"парк Короткий, буд. 8, Луганськ, 10210",+380 07 579-89-17,shelestillia@example.net
Адамчук,Хома,Григорійович,male,1946-07-19,Менеджер з продажу,село Андрушівка,"набережна Іванова, буд. 2 кв. 6, Кипуче, 37473",355-74-66,kdemianiuk@example.org
Пушкар,Камілла,Іванівна,female,1995-11-07,Копірайтер,селище Таврійськ,"парк Базарна, буд. 3, Суходільськ, 72255",048 071 86 16,sheremetaruslan@example.org
Нестеренко,Григорій,Павлович,male,1995-09-18,Аудитор,хутір Алупка,"провулок Трудовий, буд. 2, Буськ, 41840",+380 (06) 234-05-40,xlytvynenko@example.org
Онищенко,Ростислав,Романович,male,1983-06-07,PR-менеджер,хутір Вугледар,"проспект Верещагіна, буд. 384 кв. 724, Ромни, 27982",046 909-57-14,violettasirchenko@example.org
Джус,Мартин,Захарович,male,1993-11-15,Дизайнер,село Заліщики,"набережна Нескучна, буд. 446 кв. 138, Новодружеськ, 65011",054 781-56-85,nshukhevych@example.com
Симоненко,Стефан,Зеновійович,male,1979-12-12,Програміст,хутір Василівка ,"проспект Тупиковий 1-й, буд. 1, Гадяч, 21980",+380 19 082-56-66,hshtepa@example.net
Пелех,Ярослав,Григорійович,male,2008-02-23,Бухгалтер,хутір Коломия,"площа Польський узвіз, буд. 078, Біла Церква, 78321",825-18-97,serhii22@example.org
Ажажа,Стефан,Федорович,male,1969-11-10,Кадровий менеджер,селище Берестечко,"проспект Сабанський, буд. 520, Корець, 14735",+380 60 034-81-40,vsuprunenko@example.com
Козаченко,Вʼячеслав,Станіславович,male,1944-08-06,Системний адміністратор,село Мена ,"шосе Сергія Ядова, буд. 697, Сокиряни, 84584",030 252-85-72,czaichenko@example.net
Дробаха,Костянтин,Костянтинович,male,1999-08-03,Дизайнер,селище Винники,"сквер Чорноморський, буд. 2 кв. 404, Білогірськ, 90184",+380 (81) 477-24-36,trokhym96@example.org
Литвин,Панас,Зеновійович,male,2007-04-01,Офіс-менеджер,селище Прилуки,"парк Балтський 1-й, буд. 9 кв. 0, Тальне, 41455",047 959-46-26,iarosholeksa@example.net
Балабан,Захар,Остапович,male,1967-07-22,Менеджер з продукту,місто Новгород-Сіверський,"парк Юхима Фесенка, буд. 430 кв. 89, Горохів, 81192",+380 (32) 043-76-11,maryna77@example.net
Теліженко,Оксана,Максимівна,female,1938-06-06,Менеджер з продукту,село Сокаль,"парк Кордонний, буд. 58 кв. 80, Сарни, 98897",690-64-70,pustovittetiana@example.org
Аверченко,Зорян,Давидович,male,1977-10-13,Менеджер з маркетингу,місто Зборів,"вулиця Аграрна, буд. 1, Чорноморськ, 80259",+380 19 880-21-29,myronshelest@example.net
Павлик,Герман,Леонідович,male,1962-10-05,Менеджер з продажу,селище Апостолове,"узвіз Лінія 32-га, буд. 08, Покровськ, 78034",061 041 60 43,chalenkobohdanna@example.org
Журба,Борислав,Ярославович,male,1950-06-17,Асистент керівника,місто Горлівка,"набережна Дружний, буд. 09 кв. 43, Дунаївці, 48819",+380 (87) 418-02-20,zakharchenkomakar@example.net
Цимбалюк,Ірина,Тимофіївна,female,1971-10-02,Менеджер з продажу,хутір Добромиль,"набережна Лузанівський 2-й, буд. 237 кв. 137, Красногорівка, 60767",008 997-54-99,rudkostanislav@example.com
Чабан,Спас,Іванович,male,1959-05-23,Бухгалтер,хутір Вінниця,"вулиця Тепла, буд. 6 кв. 945, Судова Вишня, 32897",013 269-85-51,serhii22@example.com
Штокало,Марʼяна,Геннадіївна,female,2004-10-26,Інженер з якості,село Сватове,"набережна Гаршина, буд. 4, Новий Розділ, 60036",+380 43 200-57-64,petro23@example.com
Піддубний,Ярослава,Олегівна,female,2008-03-03,Аудитор,селище Щастя ,"вулиця Магнітогорський 3-й, буд. 199, Золоте, 77216",+380 (93) 405-19-82,baranoles@example.net
Деряжний,Мілена,Романівна,female,1964-03-01,Фінансовий аналітик,село Тиврів,"сквер Лугова, буд. 5, Татарбунари, 35813",+380 49 263-15-99,olenakalenychenko@example.net
Дейнеко,Мирослав,Павлович,male,1958-09-21,Менеджер з маркетингу,місто Петрово-Красносілля,"сквер Інтернаціональний, буд. 4 кв. 479, Ялта, 31549",092 388-06-79,lprymachenko@example.net
Рудик,Ада,Романівна,female,1994-01-30,Аудитор,село Калинівка ,"парк Рибальська, буд. 04, Чортків, 59128",+380 66 027-21-88,dutkaeduard@example.net
Верменич,Ярослав,Денисович,male,1973-07-09,Кадровий менеджер,місто Харків,"площа Хімічна, буд. 859, Нова Одеса, 79139",+380 44 425 09 54,iukhym58@example.net
Полтавець,Валентина,Володимирівна,female,1987-08-24,Асистент керівника,хутір Городня,"сквер Маршрутна, буд. 10 кв. 71, Ніжин, 47845",+380 13 281-31-61,davyd96@example.net
Яремчук,Антон,Євгенович,male,1978-11-29,Системний адміністратор,село Новодружеськ,"шосе Липнева, буд. 2 кв. 6, Сніжне, 64205",+380 (77) 080-80-20,venedyktlukash@example.net
Христич,Назар,Захарович,male,1953-07-17,Менеджер з продукту,хутір Брянка,"площа 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 1, Деражня, 88711",+380 37 104 33 32,marko85@example.org
Ванченко,Григорій,Давидович,male,1987-01-17,Кадровий менеджер,селище Старокостянтинів,"узвіз Чорноморський 5-й, буд. 91 кв. 1, Жашків, 84596",+380 35 085 62 74,larysa66@example.net
Чабан,Тетяна,Тимофіївна,female,1977-05-25,Інженер з якості,хутір Миколаїв,"проспект Косяченка Олексія, буд. 99, Білицьке, 06178",+380 (95) 521-78-05,gakulenko@example.org
Пелех,Олекса,Ігорович,male,1980-12-20,Аудитор,село Гнівань,"парк Новоберегова, буд. 408 кв. 146, Сєвєродонецьк, 37718",051 792 13 21,lukiankorpaniuk@example.net
Лисенко,Йосип,Борисович,male,1964-02-03,Асистент керівника,село Нововолинськ,"провулок Корнюшина, буд. 720 кв. 7, Очаків, 53686",+380 17 443-12-57,dtsushko@example.org
Гавришкевич,Феофан,Костянтинович,male,1978-11-19,Менеджер з продукту,село Борзна,"площа Вокзальний, буд. 00 кв. 8, Устилуг, 70951",+380 87 623 79 84,hlibvernydub@example.net
Девдюк,Ярема,Ярославович,male,1938-04-25,Системний адміністратор,селище Хрестівка,"сквер Героїв оборони Одеси, буд. 49 кв. 6, Сквира, 45278",725-93-47,vitaliihrytsenko@example.net
Ємець,Гаврило,Давидович,male,1997-03-27,Аудитор,село Гадяч,"парк Діхтієвського Віктора, буд. 7 кв. 271, Хоростків, 78190",745-97-21,wchumachenko@example.net
Тимчук,Аврелій,Ігорович,male,1973-12-07,Інженер з якості,село Липовець,"парк Озерна, буд. 3 кв. 7, Новодністровськ, 46632",020 024 94 79,onysymvashchuk@example.net
Дараган,Левко,Олегович,male,1998-03-28,Інженер з якості,місто Євпаторія,"парк Ніжинська, буд. 89 кв. 07, Корсунь-Шевченківський, 96286",+380 (08) 548-65-53,khomapavlyk@example.com
Шутько,Яків,Іванович,male,1976-11-23,Бухгалтер,місто Нікополь,"провулок Першотравневий 2-й, буд. 33 кв. 2, Зміїв, 57259",+380 (06) 413-59-64,lchalyi@example.com
Артеменко,Альберт,Григорійович,male,2008-09-21,Інженер з якості,селище Судова Вишня,"проспект 12-та Суворовська, буд. 25, Лисичанськ, 98820",+380 26 917-06-94,bohuslava94@example.org
Артим,Устим,Олегович,male,1998-01-27,Аналітик даних,хутір Липовець,"провулок Костанді, буд. 099 кв. 174, Радомишль, 55416",+380 22 271-94-21,roman02@example.net
Бабʼяк,Пилип,Максимович,male,1968-10-18,Фінансовий аналітик,місто Вижниця,"шосе Іподромний, буд. 378 кв. 466, Берегове, 25407",+380 45 628-60-49,uvasylechko@example.org
Лаба,Тимофій,Олексійович,male,1958-12-26,Менеджер з продукту,місто Жовті Води,"шосе Нова, буд. 53 кв. 25, Євпаторія, 03288",008 095 39 50,shevchenkosviatoslav@example.net
Гуцуляк,Леонід,Мар'янович,male,1998-08-29,Кадровий менеджер,місто Новий Буг,"набережна Бабеля, буд. 6, Кадіївка, 25369",+380 36 074 12 09,mykytahohol@example.net
Нестайко,Тарас,Мар'янович,male,2003-10-26,Програміст,селище Авдіївка,"сквер Пролетарський 3-й, буд. 2 кв. 504, Валки , 54871",289 88 07,ykabanenko@example.com
Михайличенко,Віолетта,Петрівна,female,2008-02-24,Інженер з якості,село Дубляни,"площа Літакова, буд. 55 кв. 0, Болехів, 38840",268 62 64,edutka@example.com
Єресько,Орест,Володимирович,male,1948-08-21,Фінансовий аналітик,село Кам'янка-Дніпровська,"вулиця Кишинівська, буд. 7 кв. 65, Гірське, 43652",+380 94 284-56-98,hkharchenko@example.net
Ващенко-Захарченко,Соломія,Павлівна,female,1962-02-22,Системний адміністратор,місто Андрушівка,"узвіз Пересипська 6-та, буд. 6, Кривий Ріг, 01333",+380 93 255-59-40,martynderiazhnyi@example.org
Забара,Одарка,Тимофіївна,female,1940-03-15,Аналітик даних,село Ялта,"площа Гаршина, буд. 3, Іловайськ, 12598",740 58 28,alinazakharchenko@example.net
Смик,Леопольд,Володимирович,male,2000-08-30,Офіс-менеджер,село Остер ,"площа Нова, буд. 710, Вільнянськ, 17837",114-76-65,szabila@example.org
Фесенко,Юстина,Романівна,female,2000-10-25,Інженер з якості,місто Слов'янськ,"проспект Василя Кандинського, буд. 2, Єнакієве, 51301",432 43 23,zprotsenko@example.net
Рябець,Оксенія,Марківна,female,1974-09-29,Кадровий менеджер,місто Новомосковськ,"шосе Єлисаветградський, буд. 3, Монастириська, 74172",+380 97 157-50-42,lbazavluchenko@example.net
Яценюк,Мирослав,Марківич,male,1978-10-30,PR-менеджер,хутір Тлумач,"шосе Херсонський, буд. 9, Горохів, 99688",086 991-19-69,shmorhunzlatoslava@example.org
Абрамчук,Віталій,Вікторович,male,1993-10-10,Офіс-менеджер,хутір Новоселиця,"набережна Житомирський 4-й, буд. 85, Мена , 27482",563-06-96,efurs@example.com
Ванченко,Орхип,Тарасович,male,1966-04-13,Тестувальник,місто Ірпінь,"узвіз Сєрогодського, буд. 029, Носівка, 48823",+380 (23) 644-55-35,alevtynkorsun@example.net
Чередник,Болеслав,Геннадійович,male,1999-01-04,Асистент керівника,хутір Фастів,"проспект Лінія 23-тя, буд. 9 кв. 53, Борзна, 80192",043 751 19 74,chavryliuk@example.com
Гавриленко,Богдан,Юрійович,male,1954-04-30,HR-менеджер,хутір Обухів,"проспект Юннатів 1-й, буд. 181, Житомир, 79427",+380 14 748-18-79,shtokalostanislav@example.net
Малишко,Марія,Геннадіївна,female,1985-07-20,Асистент керівника,село Ватутіне,"сквер Косовська, буд. 835 кв. 18, Устилуг, 94970",029 715-83-03,hordiidrozdenko@example.com
Карась,Назар,Тимофійович,male,1981-02-18,Інженер з якості,селище Джанкой,"провулок Пересипська 1-ша, буд. 5, Красноперекопськ, 82905",061 705-26-17,parmendubas@example.com
Артим,Мілена,Денисівна,female,2004-03-02,Кадровий менеджер,селище Новодружеськ,"вулиця Весняна, буд. 842 кв. 51, Алушта, 08976",076 119-11-60,talanlevko@example.net
Гайворонський,Ярослава,Григоріївна,female,1958-09-10,Менеджер з продажу,село Ходорів,"набережна Лінія 46-та, буд. 05 кв. 95, Ялта, 31279",+380 42 574-55-77,andriisirko@example.org
Павлик,Тимофій,Остапович,male,1940-05-04,Копірайтер,хутір Ладижин,"проспект Різовська, буд. 314, Погребище, 08138",033 990-64-69,tpryimak@example.org
Фоменко,Богодар,Тимофійович,male,1950-11-18,PR-менеджер,село Берестечко,"сквер Лінія 52-га, буд. 509 кв. 932, Золочів, 39275",+380 02 180-70-44,hannabazavluchenko@example.org
Бабич,Ярослава,Тарасівна,female,2006-12-03,Аудитор,село Лисичанськ,"парк Лип Івана та Юрія, буд. 6, Федорівка, 58226",693-78-25,orysiamykhaliuk@example.org
Зубко,Остап,Захарович,male,2005-12-31,Аудитор,місто Бунге ,"проспект Олександра Стурдзи, буд. 84 кв. 16, Берегове, 87330",+380 64 286 65 56,itychyna@example.net
Пʼятаченко,Онисим,Володимирович,male,1974-02-09,Бухгалтер,хутір Галич,"сквер Госпітальний, буд. 68 кв. 422, Пустомити, 24843",+380 11 829-84-58,oleh63@example.org
Вергун,Ростислав,Станіславович,male,1962-09-12,Інженер з якості,селище Дунаївці,"вулиця Іванова 2-й, буд. 63, Дунаївці, 16581",071 615-25-94,viktor92@example.org
Вернидуб,Ігнат,Максимович,male,1953-12-21,Аналітик даних,хутір Горішні Плавні,"проспект Льва Толстого, буд. 60, Карлівка, 02231",+380 27 455 28 52,zorianhuz@example.org
Ісаєвич,Євген,Костянтинович,male,1982-07-06,Менеджер з закупівель,хутір Іллінці,"вулиця 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 958, Пологи , 16643",378 06 38,ksimashkevych@example.net
Овчаренко,Святослава,Володимирівна,female,1984-04-23,Менеджер з маркетингу,селище Славутич,"сквер Савранська, буд. 746 кв. 4, Чернігів, 95134",390-57-88,kmoskal@example.com
Лисенко,Ірина,Тимофіївна,female,1971-10-26,Менеджер з продукту,хутір Кременець,"вулиця Нікітіна, буд. 9 кв. 84, Перещепине, 70320",+380 85 632 71 80,opanasbabko@example.org
Щербань,Орися,Зеновіївна,female,1952-06-27,Фінансовий аналітик,хутір Старий Крим,"сквер Ракетна, буд. 61 кв. 2, Вилкове, 56486",+380 (40) 450-38-88,onishchukparmen@example.com
Оліфіренко,Роман,Ярославович,male,2002-10-17,Аудитор,село Балта,"площа Льва Симиренка, буд. 75, Деражня, 50618",+380 04 717-02-27,taraskyrylenko@example.com
Левченко,Болеслав,Тимофійович,male,1961-05-31,Аудитор,селище Камінь-Каширський,"узвіз Новікова 2-га, буд. 755, Скалат, 19813",+380 (25) 317-12-22,matviienkoazar@example.net
Оніщук,Прохір,Марківич,male,2005-02-22,Фінансовий аналітик,село Привілля,"проспект Шилова, буд. 9 кв. 108, Шумськ, 39938",233-88-91,iurchyshynborys@example.net
Жадан,Венедикт,Ігорович,male,1948-06-20,Програміст,місто Вилкове,"провулок Кренкеля, буд. 457 кв. 07, Географія Вільнянська, 57621",919-97-70,anastasiia52@example.org
Шаблій,Максим,Петрович,male,1993-12-21,Менеджер з закупівель,селище Конотоп,"набережна Лесі Українки, буд. 22 кв. 9, Косів, 74437",025 181-74-36,hlib77@example.org
Девдюк,Едита,Мар'янівна,female,1976-11-25,Дизайнер,місто Жовква,"набережна Спаський, буд. 06 кв. 493, Калуш, 62992",300-66-95,vchumachenko@example.net
Худобʼяк,Альбіна,Ярославівна,female,1974-02-27,Інженер з якості,село Кам'янка-Бузька,"набережна Обільний 1-й, буд. 062 кв. 66, Торецьк, 90282",001 127 29 24,vivanychuk@example.org
Макаренко,Захар,Костянтинович,male,1970-04-17,Копірайтер,хутір Бунге ,"узвіз Прохоровська, буд. 137 кв. 5, Шахтарськ, 12718",085 001 56 40,ztytarenko@example.com
Демиденко,Георгій,Остапович,male,1971-04-20,Менеджер з продукту,село Світлодарськ,"шосе Селищна, буд. 504, Жовква, 72994",926-88-72,davyd74@example.org
Лаба,Камілла,Павлівна,female,1952-11-07,Фінансовий аналітик,селище Рава-Руська,"парк Пересипська 3-тя, буд. 3, Яготин, 73742",497 86 37,deriazhnyiihnat@example.com
Пилипенко,Костянтин,Іванович,male,1958-06-28,Аналітик даних,село Олешки,"узвіз Іванова 2-й, буд. 945 кв. 059, Ясинувата, 70795",+380 90 166-90-17,oandreiko@example.com
Гавриленко,Софія,Назарівна,female,1942-03-21,Копірайтер,селище Харків,"вулиця Онезька, буд. 5 кв. 4, Олевськ, 13232",600 66 39,kshtepa@example.org
Фесенко,Ілля,Назарович,male,1997-02-01,Кадровий менеджер,хутір Луганськ,"проспект Сергія Ядова, буд. 6 кв. 90, Лохвиця, 62910",+380 91 176-93-72,leonid16@example.net
Бакуменко,Артем,Іванович,male,1994-01-04,Фінансовий аналітик,селище Бобринець,"проспект Волниста, буд. 07 кв. 0, Зимогір'я, 41183",+380 04 696-25-90,adamdatsiuk@example.net
Прокопович,Степан,Денисович,male,1951-06-18,Менеджер з закупівель,село Кіцмань,"вулиця Новгородський, буд. 379 кв. 882, Снігурівка, 06133",+380 59 294 57 90,stanislav39@example.net
Овсієнко,Віра,Остапівна,female,1973-03-31,Тестувальник,селище Дубровиця,"узвіз Красносільська, буд. 27, Погребище, 66245",587 08 31,tymofii00@example.com
Хомик,Леопольд,Назарович,male,1977-10-23,Асистент керівника,хутір Попасна,"шосе Леваневського, буд. 0 кв. 51, Радомишль, 60916",027 221 54 77,dvdovychenko@example.net
Чумаченко,Тетяна,Євгенівна,female,1987-01-26,Архітектор,село Хотин,"шосе Лінія 45-та, буд. 15 кв. 639, Теребовля, 97896",842-61-71,khoma20@example.com
Архипенко,Марта,Сергіївна,female,1993-09-14,Аналітик даних,хутір Тлумач,"площа Ювілейний 2-й, буд. 167 кв. 6, Герца, 40439",023 183 03 95,trokhymduplii@example.net
Акименко,Олекса,Петрович,male,1974-02-09,Кадровий менеджер,місто Середина-Буда,"набережна Поштова, буд. 10 кв. 022, Глиняни, 97253",324 34 19,hermanivasiuk@example.org
Величко,Валентина,Кирилівна,female,1958-11-30,Менеджер з закупівель,селище Кам'янець-Подільський,"узвіз Леонтовича, буд. 979 кв. 43, Міусинськ, 10244",558 29 23,fartushniakarsen@example.org
Талан,Олесь,Остапович,male,1991-11-18,Менеджер з закупівель,село Новий Розділ,"набережна Новощіпний ряд, буд. 4 кв. 134, Моршин, 69787",+380 81 885-80-43,stepan35@example.net
Ґалаґан,Лукʼян,Володимирович,male,1965-11-14,Бухгалтер,хутір Волочиськ,"шосе Маршала Малиновського, буд. 176, Мирноград, 40572",+380 89 308-95-74,riabovilprokhir@example.net
Карась,Богуслава,Михайлівна,female,1978-06-18,Тестувальник,хутір Тростянець,"вулиця Артилерійський 2-й, буд. 510 кв. 1, Вознесенськ, 46911",+380 18 452-65-02,ielyseihohol@example.org
Макаренко,Святослав,Остапович,male,1980-06-20,Копірайтер,село Жидачів,"парк Рибальська балка, буд. 659, Нетішин, 41095",+380 62 262-30-90,ftsybulenko@example.com
Тягнибок,Орина,Костянтинівна,female,1975-12-31,Офіс-менеджер,селище Хмільник,"набережна Садова 2-га, буд. 39, Добропілля, 17822",006 775 31 62,klymenttsushko@example.net
Вакуленко,Роксолана,Марківна,female,2007-04-25,Дизайнер,хутір Зоринськ,"вулиця Студентський, буд. 605 кв. 6, Бровари, 79537",807-96-89,nadiia30@example.com
Базилевич,Мирон,Тимофійович,male,2008-05-14,PR-менеджер,селище Березівка,"площа Бориса Літвака, буд. 7 кв. 5, Старобільськ, 89551",+380 50 401-53-00,rdeineka@example.net
Іваничук,Розалія,Тимофіївна,female,1946-01-28,Фінансовий аналітик,хутір Федорівка,"шосе Картамишевська, буд. 5 кв. 0, Зборів, 28163",+380 25 247 11 74,les15@example.com
Сагаль,Борислав,Станіславович,male,1987-04-25,Кадровий менеджер,селище Коростишів,"провулок Каспійський, буд. 972, Мена , 38759",+380 (82) 671-56-83,ielyseichupryna@example.net
Єфименко,Едита,Кирилівна,female,1983-04-29,Фінансовий аналітик,село Горохів,"проспект Мазепи Івана, буд. 262, Мостиська, 86465",+380 06 406-67-94,ssomko@example.org
Лемешко,Віталій,Захарович,male,1980-12-19,HR-менеджер,село Тернівка ,"набережна Військовий узвіз, буд. 7 кв. 88, Шаргород, 19995",+380 76 085-35-87,ztsymbaliuk@example.org
Акименко,Святослава,Мар'янівна,female,1968-05-18,Аудитор,хутір Ізмаїл,"набережна Дальня, буд. 4, Новоукраїнка, 36205",+380 80 939-41-21,lutsenkohryhorii@example.org
Кальченко,Юстим,Мар'янович,male,1991-06-21,Асистент керівника,місто Тиврів,"набережна Дача Ковалевського, буд. 36, Сквира, 96372",+380 13 354-88-06,dbabarychenko@example.org
Тарасенко,Гліб,Григорійович,male,2006-05-08,Офіс-менеджер,село Рубіжне,"парк Лазурний 4-й, буд. 686 кв. 363, Моршин, 81032",879 92 21,vanchenkoiukhym@example.org
Лубенець,Еріка,Костянтинівна,female,1944-08-27,Менеджер з маркетингу,селище Залізне,"набережна Балтський 7-й, буд. 4, Куп'янськ, 09500",+380 (36) 591-01-17,ehupalo@example.org
Барабаш,Богодар,Романович,male,1950-11-07,Асистент керівника,селище Федорівка,"площа Дідріхсона, буд. 785 кв. 32, Середина-Буда, 29458",+380 94 266-92-56,anitababychenko@example.org
Бабариченко,Артем,Назарович,male,1965-12-22,Копірайтер,місто Балта,"сквер Польська, буд. 86, Шпола, 78991",992 64 06,parasiuklarysa@example.com
Зарудний,Лариса,Андріївна,female,1980-10-23,Копірайтер,місто Скадовськ,"вулиця Верф’яний, буд. 32, Павлоград, 68181",045 013 52 99,zdziuba@example.com
Гоголь-Яновський,Розалія,Марківна,female,1974-08-19,Дизайнер,село Виноградів,"парк Василя Кандинського 5-й, буд. 511, Берислав, 60446",+380 93 954 69 78,panchukada@example.org
Лемешко,Теодор,Олександрович,male,2003-12-20,Менеджер з маркетингу,місто Волноваха,"вулиця Аеропортівський 1-й, буд. 568 кв. 02, Курахове, 03802",+380 (69) 922-80-06,nvatamaniuk@example.com
Архипенко,Галина,Олександрівна,female,1947-03-13,Архітектор,місто Одеса,"провулок Кипарисний 2-й, буд. 58, Виноградів, 64295",047 121 59 17,matviienkodaryna@example.org
Ґереґа,Богуслав,Остапович,male,1991-06-28,Копірайтер,село Новодністровськ,"вулиця Георгія Гамова, буд. 716 кв. 4, Рівне, 26676",423 77 27,anzhelavasylevych@example.com
Шиян,Альбіна,Остапівна,female,1991-09-08,Аналітик даних,село Луганськ,"шосе Кустанайський 2-й, буд. 741 кв. 78, Кадіївка, 80864",+380 11 434 71 01,roksolanaromanchuk@example.org
Ящук,Маруся,Костянтинівна,female,1974-07-27,Архітектор,село Чорноморськ,"вулиця 12-та ст. Великого Фонтану пляж, буд. 5, Підгайці, 52959",079 18 19,hordii05@example.com
Гук,Степан,Романович,male,1974-01-17,Системний адміністратор,хутір Камінь-Каширський,"площа Черняховського, буд. 5, Кадіївка, 50892",083 482-02-35,albert72@example.org
Лаба,Олег,Станіславович,male,1985-11-08,Офіс-менеджер,хутір Семенівка,"шосе Волзький, буд. 1 кв. 43, Буськ, 51922",+380 39 798-72-06,msymonenko@example.org
Ващенко-Захарченко,Златослава,Тимофіївна,female,1990-11-21,Менеджер з продукту,село Ватутіне,"набережна Таїрова, буд. 95, Виноградів, 41061",179-47-72,bohuslavaperepelytsia@example.com
Верменич,Юхим,Олексійович,male,2008-10-20,Дизайнер,село Виноградів,"площа Прохоровський, буд. 48, Новомиргород, 77455",951-62-22,hordiizhaivoron@example.net
Бабич,Христина,Федорівна,female,1972-08-11,Копірайтер,хутір Стебник,"парк Студентський 5-й, буд. 924 кв. 06, Ясинувата, 90453",293 13 40,larysavernydub@example.net
Каденюк,Григорій,Євгенович,male,1970-01-28,Менеджер з продукту,хутір Ічня,"парк Перемоги, буд. 56 кв. 4, Скалат, 46489",+380 13 662-60-31,viacheslavfartushniak@example.net
Малик,Дарина,Ігорівна,female,1951-08-22,Інженер з якості,селище Кременець,"площа Семінарська, буд. 2 кв. 8, Броди, 04270",096 382 94 44,wbandera@example.com
Шило,Дмитро,Леонідович,male,1992-08-03,Інженер з якості,село Шостка,"набережна 19-й км Старокиївської дороги, буд. 633, Докучаєвськ, 15857",220 59 30,borys29@example.org
Чарниш,Марина,Олексіївна,female,1966-12-26,Архітектор,селище Долинська,"набережна Любашівський, буд. 061, Ромни, 24958",065 813-34-88,virapushkar@example.net
Базилевський,Трохим,Васильович,male,1954-11-20,Фінансовий аналітик,селище Андрушівка,"вулиця Пісочна, буд. 7, Чорнобиль, 76513",+380 37 615-78-16,dgerus@example.net
Шаповал,Юстина,Тимофіївна,female,2000-08-08,Кадровий менеджер,місто Шостка,"парк Лізи Чайкіної, буд. 30, Ізмаїл, 48957",035-31-94,stanislav93@example.net
Єсипенко,Аврелій,Мар'янович,male,1981-10-16,Архітектор,селище Вознесенівка,"набережна Топольського, буд. 08 кв. 5, Костянтинівка, 65292",214-43-79,sshvedchenko@example.org
Лаба,Михайлина,Мар'янівна,female,2000-07-11,Копірайтер,місто Миронівка,"сквер Амбулаторний, буд. 58 кв. 320, Радехів, 27092",017 354-58-85,ovcharenkoustym@example.org
Вівчаренко,Ганна,Геннадіївна,female,1977-09-15,Бухгалтер,хутір Лисичанськ,"шосе Косяченка Олексія, буд. 56, Городенка, 31849",+380 67 391 49 46,kostiantynbazylevskyi@example.org
Кащенко,Веніямин,Олексійович,male,1992-06-09,Офіс-менеджер,місто Добропілля,"проспект Гаршина, буд. 1, Саки , 98853",467 97 98,odarka14@example.org
Бабійчук,Григорій,Зеновійович,male,1992-12-11,Тестувальник,місто Часів Яр,"проспект Куяльницький міст, буд. 2, Старий Самбір, 66253",917-66-94,emiliiabaranyk@example.org
Чубай,Едита,Михайлівна,female,2003-01-11,Аналітик даних,хутір Кипуче,"сквер Льва Симиренка, буд. 56, Рівне, 94554",+380 50 465-15-96,oksanaiatseniuk@example.org
